1000 2000
705 571 95
127 816 81
415 638 96
606 470 85
434 121 76
338 149 50
548 206 64
601 52 54
634 373 93
460 910 62
343 214 29
166 366 74
364 173 98
215 807 23
909 947 28
851 523 74
226 323 45
482 822 47
878 838 11
871 174 86
402 64 45
112 253 2
464 117 9
517 516 77
747 342 33
921 59 74
13 473 85
350 674 4
702 878 77
136 275 28
973 5 69
692 573 38
424 339 25
10 741 92
710 330 44
543 108 8
628 73 56
767 201 97
375 83 24
742 474 51
533 357 74
80 955 99
955 568 22
884 157 87
114 539 67
443 1 54
507 915 77
172 411 3
555 302 42
662 816 32
516 953 18
307 516 44
456 576 64
759 124 30
943 655 90
385 979 79
570 527 54
6 439 56
751 907 63
51 909 31
210 647 19
367 922 16
412 146 49
744 203 39
406 170 40
278 663 2
702 780 84
157 652 53
474 449 35
176 783 42
397 282 58
688 252 53
187 293 82
787 136 58
741 248 95
678 408 36
103 871 56
635 439 82
607 996 38
825 747 53
274 496 86
817 940 66
33 634 28
754 130 38
42 158 93
89 644 83
951 898 80
871 82 19
370 756 37
703 680 38
803 1000 62
385 540 70
540 253 12
7 947 87
383 735 83
5 470 7
160 301 25
694 217 31
196 234 10
125 114 19
578 780 24
577 867 29
34 103 58
762 197 27
648 728 3
186 704 90
127 257 80
952 381 98
417 93 60
977 222 55
452 482 5
350 716 26
914 908 57
814 223 92
290 27 84
721 244 55
451 446 41
705 207 4
492 697 22
452 176 83
263 75 30
282 474 8
30 285 63
14 777 42
633 420 13
411 211 33
602 510 37
880 338 80
770 89 18
831 335 58
755 726 80
74 939 58
983 695 75
670 793 59
930 623 93
161 425 38
64 298 79
408 159 4
277 433 12
295 271 16
484 27 41
587 130 50
544 666 13
182 909 3
616 998 76
825 947 59
155 785 95
779 933 80
655 891 27
274 2 89
914 49 57
787 47 5
140 583 9
747 345 82
883 78 73
517 34 29
124 63 49
728 894 39
986 549 71
117 754 56
215 465 84
20 461 19
543 373 87
287 225 67
821 646 57
187 228 78
361 85 62
216 709 71
294 311 80
682 889 48
412 578 88
605 401 35
418 435 76
731 311 1
261 840 35
470 992 3
624 379 77
343 182 3
687 593 45
395 83 80
403 402 40
697 9 38
605 477 63
250 259 42
111 709 74
796 249 91
431 886 14
394 98 26
785 291 49
34 999 68
809 824 35
447 251 9
5 8 76
34 408 44
814 275 67
746 329 73
153 836 30
20 929 40
179 638 57
28 981 8
207 972 96
522 43 90
384 521 40
624 641 70
41 226 48
718 544 78
689 294 58
562 321 68
534 357 41
731 148 55
298 45 2
63 345 31
537 103 55
74 903 32
849 849 34
667 841 98
130 167 13
980 903 56
373 363 72
201 268 82
852 51 77
461 875 55
508 554 75
523 928 80
886 29 92
276 11 55
402 324 32
478 552 45
782 766 89
109 436 40
244 493 11
865 924 26
647 379 1
855 920 97
444 915 36
922 498 5
644 459 33
104 698 60
703 882 6
101 893 13
893 786 53
642 231 8
953 986 74
379 515 46
424 909 22
482 25 49
962 354 33
810 388 65
857 899 10
620 198 100
818 496 20
463 262 28
714 100 92
437 254 22
71 503 78
252 686 33
95 497 97
814 410 65
871 908 5
728 792 26
24 736 11
521 753 14
40 191 91
522 847 21
378 818 77
235 244 54
972 10 79
761 736 57
560 155 57
269 353 95
35 280 3
628 168 97
299 405 95
335 197 57
568 604 56
529 541 88
793 689 17
67 547 27
644 963 81
636 354 3
226 731 77
346 51 93
513 512 2
198 75 36
430 322 6
30 660 20
422 124 61
728 64 60
571 273 76
685 74 33
610 591 67
138 591 72
508 93 59
534 483 86
132 695 41
452 457 17
939 763 54
410 900 48
117 939 63
112 910 17
591 206 25
905 249 15
936 867 53
547 181 90
26 842 33
862 690 92
282 870 89
87 483 34
274 423 97
546 241 93
315 225 77
733 692 96
839 261 18
169 96 20
247 321 30
636 447 87
852 945 84
940 857 45
398 292 30
553 403 49
120 442 99
868 982 64
222 801 18
626 63 52
700 666 38
310 487 57
394 369 5
963 271 45
592 476 74
392 10 12
675 154 70
620 834 34
303 87 91
576 454 20
60 847 93
189 936 26
695 405 77
380 224 15
988 390 93
263 697 39
749 411 22
314 799 55
668 615 45
