100 200
81 75 53
45 78 67
35 50 1
52 30 59
7 47 15
41 9 68
17 20 36
16 81 68
45 9 20
65 100 66
53 96 68
9 93 26
40 16 32
31 42 92
6 71 65
45 39 95
14 66 54
68 71 64
32 1 15
27 45 22
71 37 92
100 79 4
99 93 17
39 55 5
66 21 53
15 50 81
79 10 23
58 30 71
63 67 80
86 59 8
23 37 100
97 40 20
47 51 19
94 29 48
16 20 66
26 3 90
80 62 89
63 84 28
66 55 60
43 44 92
60 87 98
92 79 54
90 19 95
93 89 97
93 80 63
48 6 41
28 11 53
33 11 38
46 44 98
2 70 4
4 30 51
54 9 65
32 1 61
39 64 43
40 10 35
18 69 36
73 56 59
56 43 48
28 23 61
70 30 86
10 13 48
46 31 59
98 71 95
89 17 13
41 74 61
61 40 43
69 73 3
69 81 8
84 54 80
57 36 13
14 54 98
38 69 48
45 67 95
2 12 59
98 76 24
60 60 55
56 82 44
58 86 98
66 4 14
32 84 53
56 59 33
62 87 100
46 2 37
90 17 59
95 30 69
34 13 10
77 79 75
91 29 97
87 32 34
90 60 29
71 26 44
74 68 31
9 26 64
98 78 53
79 68 36
38 13 96
37 60 87
81 90 11
48 44 92
51 97 76
97 74 25
17 97 4
47 7 69
97 89 4
100 18 47
91 7 36
74 93 15
34 80 5
59 17 69
63 33 67
34 48 35
38 90 98
46 7 34
24 25 88
11 30 56
25 23 75
45 83 29
26 64 23
46 47 51
66 60 11
85 56 2
64 69 45
83 81 8
44 56 89
78 19 57
26 70 92
44 92 84
7 33 51
4 49 65
59 11 49
50 60 25
50 61 83
26 16 59
65 58 91
74 10 81
39 8 52
65 30 54
66 17 1
94 32 54
23 47 86
37 59 78
1 88 12
63 70 24
50 46 23
85 97 80
43 40 67
94 66 85
19 84 97
4 45 52
88 7 100
10 3 46
26 69 52
71 44 79
63 22 8
41 50 24
39 38 48
37 31 57
50 55 98
76 66 70
6 44 60
70 81 84
10 35 49
97 78 34
56 54 48
20 29 47
71 80 20
16 2 50
96 61 92
19 85 32
35 81 80
89 19 31
55 74 55
82 97 4
74 48 22
4 35 78
93 100 30
16 31 49
59 97 10
36 70 16
26 93 38
26 87 44
42 19 32
79 66 13
16 29 10
49 8 73
70 12 85
76 42 77
100 46 49
12 60 84
69 3 42
70 66 26
77 75 85
10 37 50
79 35 62
33 87 38
79 1 28
14 68 24
8 47 34
75 95 57
30 48 20
