10000 20000
1291 1489 13
7490 4503 56
6621 1142 91
8542 6358 76
998 9631 45
7714 2931 11
224 5843 76
492 3881 35
5922 6092 81
5558 8128 48
5523 1378 32
8348 8024 59
1117 3636 100
4755 272 49
4143 2551 10
4078 3205 85
6197 4526 47
4510 1175 95
9578 5356 64
1228 9683 17
9058 4788 66
3356 7560 59
2101 3382 79
3835 3489 24
2104 1972 39
7276 961 8
1308 802 92
4711 7963 30
2288 2974 16
3355 8155 23
8590 8046 89
9250 5235 37
8926 2003 68
6155 7671 40
1652 958 79
9808 8614 61
1077 8190 46
2232 3115 25
4870 4646 53
5226 4866 61
9488 9274 34
6064 8563 33
2864 22 99
6902 3709 23
3747 7127 90
5573 3274 54
2299 7165 81
4519 8968 48
8374 306 33
473 512 30
8992 6981 86
3807 250 59
3082 6041 75
9358 7950 45
7215 6144 57
1509 785 49
1372 4864 8
2624 5005 4
6437 3798 50
5581 4795 85
2448 9259 62
4185 5070 79
3939 9347 84
9307 1179 6
736 2048 39
6248 8635 86
243 2105 6
9451 4495 67
8025 8064 29
5653 4707 97
3326 7958 84
1896 2597 59
4767 8938 2
5197 6011 22
161 986 64
9903 2997 86
4416 3108 4
4573 2488 63
7125 8640 81
6551 3377 70
460 1487 80
9270 5266 29
2020 975 14
840 784 67
4813 2911 75
1445 8059 81
2912 8022 51
1054 3826 43
8937 7259 57
5237 4117 42
2872 9865 1
2831 4006 11
1149 2383 75
9802 5930 96
8060 6819 52
6025 3583 20
8812 1732 78
1332 974 5
8023 5313 54
7609 5021 65
654 81 82
4373 3592 77
7780 4911 4
7794 6623 68
5900 4872 8
6872 8486 72
7440 9563 88
3714 701 96
1712 6151 35
3607 1062 20
1111 6139 78
5258 7371 95
8914 4513 53
2560 5385 84
1331 1877 60
2291 785 58
4485 3073 71
6813 1451 41
5606 6130 37
8191 1680 3
2618 9363 32
54 774 91
3840 1655 1
3707 9047 1
3475 4807 99
60 3309 76
3491 4249 11
9095 9659 47
959 4939 93
3867 6316 38
6892 1619 97
5640 7452 27
9870 9532 56
2932 6341 47
532 5870 90
2243 8443 98
2963 9585 26
1197 4559 15
3260 8693 83
846 2129 94
3711 3563 6
5919 7760 85
2814 8731 58
9228 7075 47
4661 8437 1
4660 1042 91
3944 274 95
7660 5450 87
705 3164 34
2706 4873 64
3164 9315 13
9863 6422 21
3178 9987 52
4943 5211 19
7738 5692 54
6508 3562 29
9790 9727 57
585 1361 6
8518 3057 84
9251 3018 91
6214 5874 68
3338 5682 73
5197 8427 52
5107 8904 21
3495 4078 47
6590 952 34
9402 9023 88
5527 5302 7
6944 6415 39
9689 3170 63
2079 579 41
6748 1102 75
1882 7005 54
8657 7585 35
5559 2171 43
5592 3653 18
529 3189 98
508 7495 29
2560 292 32
4463 1941 46
282 492 45
8928 3666 98
9005 6322 53
2832 8129 97
6294 9672 25
4380 6527 41
1537 1203 88
8143 2602 66
3131 6946 25
3983 6066 70
8623 7656 28
7207 5961 52
3274 7123 59
1308 587 53
6454 9317 34
8278 829 21
5476 5698 17
335 4107 30
3234 1981 68
9020 9100 25
8590 320 3
72 4156 71
5733 9427 53
905 7086 11
3996 9737 2
7177 1654 16
717 9960 100
8107 2507 44
690 6703 42
8711 3398 98
9926 8965 27
8249 207 84
3070 4236 15
6946 2658 87
1607 9149 28
5415 8412 86
8170 6252 3
8154 9825 58
6690 9290 90
8830 165 45
6581 765 1
9208 2046 41
4316 6618 10
6367 3027 25
6378 9564 38
9693 323 43
2212 4828 17
5037 9831 68
2961 149 35
2498 3147 99
4472 7636 82
3868 104 30
7418 3839 78
5316 248 31
827 2272 44
8754 2206 51
3969 8874 47
8627 7323 22
8203 7533 34
96 4852 76
9332 126 55
7822 9643 4
87 6626 52
5285 2052 28
3992 5945 5
4454 1925 19
7589 416 58
6727 9044 22
657 9549 34
6101 7674 26
3432 220 93
3895 6630 41
3833 2779 34
8369 6015 33
4312 3617 18
5016 468 80
5968 4728 37
7850 1575 79
9811 6046 91
2244 9347 28
1291 9523 3
341 8211 14
3721 560 80
8996 5782 59
6352 6680 12
2267 9794 53
1037 1877 82
6129 5611 75
9638 6925 4
1915 4860 24
6959 726 59
8548 7802 100
5106 4718 31
5952 9888 13
7262 1879 75
5966 5440 95
6548 1407 87
38 1815 34
8450 1445 44
6221 884 92
8265 4853 65
696 5864 80
1104 7156 41
949 3593 99
3250 7770 6
1702 5747 4
6030 667 20
3342 1578 3
5866 1587 20
5582 6097 72
6990 102 73
5735 5899 92
9677 3256 1
1058 3809 69
1375 9294 4
5903 3619 84
9356 5080 37
8153 1894 43
1686 2320 3
4548 3119 89
4886 93 46
2364 9781 18
883 208 53
3203 1305 26
5625 8603 9
3606 5283 53
1608 5824 15
9010 9888 68
1502 8985 88
6144 5411 37
8188 4379 57
7221 6953 75
2652 2 42
6495 3478 13
9701 9215 38
3220 6714 82
6188 2484 93
8211 3908 48
7804 3700 73
9005 7935 48
5234 1466 11
5782 8031 51
1394 5775 83
1251 5276 53
4803 3999 64
295 4079 38
2999 2010 85
4538 5275 73
6458 9241 41
1145 2257 70
1123 8395 71
2662 2471 20
5933 4104 85
2756 4433 77
8277 6406 40
7608 9134 47
5029 3314 76
4318 7215 49
8016 9929 5
4605 734 7
1763 7572 68
254 9446 7
6318 6747 73
4394 2286 89
2791 1375 68
5542 768 17
3796 2586 27
7328 421 62
1395 7637 94
7188 9294 47
9340 4215 68
2944 1919 85
7988 4535 54
2173 1037 72
1514 7366 4
7059 1395 6
3225 8421 33
8782 1002 76
6366 895 47
5025 265 2
1765 2441 20
7047 8766 65
2479 8659 89
307 208 49
8455 4903 100
1757 6189 83
512 533 58
6112 4821 20
9842 6669 46
3107 9665 77
8147 9502 73
6457 3559 93
3262 3836 56
717 7116 72
4484 8323 29
4282 512 56
7206 4296 87
4346 6083 55
3096 975 26
9093 7110 32
8259 2810 70
3509 7407 16
7548 1392 65
2788 9735 47
3358 2552 73
3984 7893 90
8882 3128 70
1859 4266 11
9932 5445 79
5540 2910 74
5886 4249 91
6127 4633 19
762 914 82
976 4937 21
6823 1348 14
7912 3204 94
3329 9721 19
628 9477 94
8671 4216 9
2823 5305 91
475 1802 30
9202 6883 73
7389 811 43
5635 7480 57
9324 2476 4
3625 7585 32
4010 6783 83
5166 6394 65
4452 8714 44
6695 4106 60
9966 4251 9
1903 7257 63
8969 2671 40
1234 2065 99
6839 2027 40
1220 9346 10
1994 9655 20
4778 2501 58
2520 4799 79
2623 7950 13
5703 8604 15
6501 8519 39
468 2837 20
9313 9144 3
4117 7170 19
5983 5919 30
3990 8522 54
5663 1841 79
7798 2872 35
9077 4293 93
8480 6987 84
5560 471 69
6685 2388 63
4582 3508 56
5049 1099 90
472 4939 68
4679 7793 95
5150 8337 55
9739 9290 85
4597 2393 4
1214 4815 25
1688 6801 59
5346 3578 16
7707 3082 28
4800 7040 25
3558 3665 17
5865 1062 54
2638 685 22
6069 2114 20
9031 9880 8
2053 4408 32
4883 3836 4
6038 4070 24
1581 7616 80
7005 1374 46
5091 3282 64
9010 4212 31
9505 5083 51
8328 2145 77
2630 8770 18
8914 8401 72
7628 8680 96
4270 3451 76
960 3098 38
6660 1447 51
